"ID","Name","Position","League","type","positionGroup"
524968,"Jesus Montero","C/DH",NA,FALSE,"Utility"
456051,"Hector Noesí","P",NA,FALSE,"Pitcher"
407832,"Wilson Valdez","2B/SS",NA,FALSE,"Utility"
456662,"Jeremy Horst","P",NA,FALSE,"Pitcher"
444453,"Russ Canzler","1B/DH/OF",NA,FALSE,"Utility"
434628,"Jason Hammel","P",NA,FALSE,"Pitcher"
425386,"Jeremy Guthrie","P",NA,FALSE,"Pitcher"
150359,"A.J. Burnett","P",NA,FALSE,"Pitcher"
452764,"Chris Carpenter","P",NA,FALSE,"Pitcher"
430652,"Jason Bourgeois","OF",NA,FALSE,"Outfield"
279827,"Humberto Quintero","C",NA,FALSE,"Infield"
446003,"Jairo Asencio","P",NA,FALSE,"Pitcher"
579799,"Ryota Igarashi","P",NA,FALSE,"Pitcher"
464433,"Juan Francisco","1B/3B",NA,FALSE,"Utility"
502004,"George Kontos","P",NA,FALSE,"Pitcher"
455755,"Chris Stewart","C",NA,FALSE,"Infield"
407781,"Marlon Byrd","OF",NA,FALSE,"Outfield"
476601,"Michael Bowden","P",NA,FALSE,"Pitcher"
458679,"Josh Bell","3B",NA,FALSE,"Infield"
457117,"Ernesto Frieri","P",NA,FALSE,"Pitcher"
506560,"Alexi Amarista","2B/SS/OF",NA,FALSE,"Utility"
425542,"Koyie Hill","C",NA,FALSE,"Infield"
450300,"Drew Sutton","2B/OF",NA,FALSE,"Utility"
456665,"Steve Pearce","1B/OF",NA,FALSE,"Utility"
469134,"Esmil Rogers","P",NA,FALSE,"Pitcher"
452121,"Brent Lillibridge","OF",NA,FALSE,"Outfield"
425903,"Kevin Youkilis","1B/3B",NA,FALSE,"Utility"
543819,"Zach Stewart","P",NA,FALSE,"Pitcher"
150324,"Carlos Lee","OF",NA,FALSE,"Outfield"
518625,"Matt Dominguez","3B",NA,FALSE,"Infield"
457926,"Paul Janish","SS",NA,FALSE,"Infield"
430683,"Justin Germano","P",NA,FALSE,"Pitcher"
407193,"Brandon Lyon","P",NA,FALSE,"Pitcher"
502304,"David Carpenter","P",NA,FALSE,"Pitcher"
150188,"Francisco Cordero","P",NA,FALSE,"Pitcher"
